wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;w3;grupa_wiekowa;w1_0_11;w1_12_19;w1_20_39;w1_40_59;w1_60_69;w1_70plus;wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA;woj.;pow;nazwa;kod
dolnoœl¹skie;lubañski;gm.m-w. Leœna;9948;3211;2084;20,9;:;0;49;476;988;904;794;dolnoœl¹skie;lubañski;gm.m-w. Leœna;2;10;3;3;Leœna;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;lubañski;gm.m-w. Leœna;021003
dolnoœl¹skie;lubañski;gm.w. Lubañ;6569;1901;1054;16;:;0;39;388;667;462;345;dolnoœl¹skie;lubañski;gm.w. Lubañ;2;10;4;2;Lubañ;gmina wiejska;43831;DOLNOŒL¥SKIE;lubañski;gm.w. Lubañ;021004
dolnoœl¹skie;lubañski;gm.m-w. Olszyna;6472;2074;1271;19,6;:;0;37;319;658;527;533;dolnoœl¹skie;lubañski;gm.m-w. Olszyna;2;10;5;3;Olszyna;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;lubañski;gm.m-w. Olszyna;021005
dolnoœl¹skie;lubañski;gm.w. Platerówka;1629;465;271;16,6;:;0;8;78;152;116;111;dolnoœl¹skie;lubañski;gm.w. Platerówka;2;10;6;2;Platerówka;gmina wiejska;43831;DOLNOŒL¥SKIE;lubañski;gm.w. Platerówka;021006
dolnoœl¹skie;lubañski;gm.w. Siekierczyn;4516;1594;1004;22,2;:;0;21;261;529;415;368;dolnoœl¹skie;lubañski;gm.w. Siekierczyn;2;10;7;2;Siekierczyn;gmina wiejska;43831;DOLNOŒL¥SKIE;lubañski;gm.w. Siekierczyn;021007
dolnoœl¹skie;lubiñski;m. Lubin;71710;32421;22170;30,9;:;0;1046;5608;9632;7424;8711;dolnoœl¹skie;lubiñski;m. Lubin;2;11;1;1;Lubin;gmina miejska;43831;DOLNOŒL¥SKIE;lubiñski;m. Lubin;021101
dolnoœl¹skie;lubiñski;gm.w. Lubin;16521;6774;4428;26,8;:;0;266;1361;2823;1363;961;dolnoœl¹skie;lubiñski;gm.w. Lubin;2;11;2;2;Lubin;gmina wiejska;43831;DOLNOŒL¥SKIE;lubiñski;gm.w. Lubin;021102
dolnoœl¹skie;lubiñski;gm.w. Rudna;7793;2841;1809;23,2;:;0;73;574;996;663;535;dolnoœl¹skie;lubiñski;gm.w. Rudna;2;11;3;2;Rudna;gmina wiejska;43831;DOLNOŒL¥SKIE;lubiñski;gm.w. Rudna;021103
dolnoœl¹skie;lubiñski;gm.m-w. Œcinawa;9872;3445;2105;21,3;:;0;103;599;1103;875;765;dolnoœl¹skie;lubiñski;gm.m-w. Œcinawa;2;11;4;3;Œcinawa;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;lubiñski;gm.m-w. Œcinawa;021104
dolnoœl¹skie;lwówecki;gm.m-w. Gryfów Œl¹ski;9561;3305;2084;21,8;:;0;50;568;992;832;863;dolnoœl¹skie;lwówecki;gm.m-w. Gryfów Œl¹ski;2;12;1;3;Gryfów Œl¹ski;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;lwówecki;gm.m-w. Gryfów Œl¹ski;021201
dolnoœl¹skie;lwówecki;gm.m-w. Lubomierz;6177;1905;1149;18,6;:;0;46;339;586;534;400;dolnoœl¹skie;lwówecki;gm.m-w. Lubomierz;2;12;2;3;Lubomierz;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;lwówecki;gm.m-w. Lubomierz;021202
dolnoœl¹skie;lwówecki;gm.m-w. Lwówek Œl¹ski;17186;6579;3895;22,7;:;0;151;1194;1970;1755;1509;dolnoœl¹skie;lwówecki;gm.m-w. Lwówek Œl¹ski;2;12;3;3;Lwówek Œl¹ski;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;lwówecki;gm.m-w. Lwówek Œl¹ski;021203
dolnoœl¹skie;lwówecki;gm.m-w. Mirsk;8461;2999;1787;21,1;:;0;53;480;881;816;769;dolnoœl¹skie;lwówecki;gm.m-w. Mirsk;2;12;4;3;Mirsk;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;lwówecki;gm.m-w. Mirsk;021204
dolnoœl¹skie;lwówecki;gm.m-w. Wleñ;4214;1586;1005;23,8;:;0;28;246;480;468;364;dolnoœl¹skie;lwówecki;gm.m-w. Wleñ;2;12;5;3;Wleñ;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;lwówecki;gm.m-w. Wleñ;021205
dolnoœl¹skie;milicki;gm.w. Cieszków;4657;1566;938;20,1;:;0;25;281;502;402;356;dolnoœl¹skie;milicki;gm.w. Cieszków;2;13;1;2;Cieszków;gmina wiejska;43831;DOLNOŒL¥SKIE;milicki;gm.w. Cieszków;021301
dolnoœl¹skie;milicki;gm.w. Kroœnice;8093;2986;1797;22,2;:;0;89;513;1021;740;623;dolnoœl¹skie;milicki;gm.w. Kroœnice;2;13;2;2;Kroœnice;gmina wiejska;43831;DOLNOŒL¥SKIE;milicki;gm.w. Kroœnice;021302
